Batter,Bats,Team,Pitcher,Throws,Contact,Barrel,HR,HardHit,ZoneScore
Jared Young,LHB,NYM,Carmen Mlodzinski,R,44.1,21.3,16.2,51.8,29.7
Gary Sanchez,RHB,MIL,Zebby Matthews,R,39.3,27.4,26.4,32.5,29.6
Rafael Devers,LHB,SF,Keider Montero,R,33.6,18.1,20.9,53.2,29.3
Daulton Varsho,LHB,HOU,Robbie Ray,L,33.9,22.8,8.7,61.3,29.3
Angel Martinez,SHB,CLE,Noah Schultz,L,21.6,25.5,23.2,44.9,29.3
Daylen Lile,LHB,WSH,Chase Petty,R,32.8,20,20.2,51.4,29.2
Willi Castro,SHB,COL,Kyle Leahy,R,29.8,34.8,15,35.8,28.6
Gabriel Moreno,RHB,ARI,Roki Sasaki,R,37.1,27.5,17.2,40.6,28.6
Chase DeLauter,LHB,CLE,Noah Schultz,L,44,24.3,31.3,24.6,28.4
Cedric Mullins,LHB,TB,Logan Gilbert,R,25.4,14.5,23,54.2,28.1
Royce Lewis,RHB,MIN,Shane Drohan,L,39.3,18.5,10,58.3,28
Joc Pederson,LHB,TEX,Shane Baz,R,35.6,22,26.2,35.3,27.9
Henry Davis,RHB,PIT,Zach Thornton,L,31.7,36.4,9.6,35.4,27.6
Dominic Canzone,LHB,SEA,Drew Rasmussen,R,39.6,22.7,29.7,27.2,27.6
Masyn Winn,RHB,STL,Ryan Feltner,R,29.2,23.9,14.6,47.7,27.6
Tim Tawa,RHB,ARI,Roki Sasaki,R,42,25,19.3,34.5,27.4
Wyatt Langford,RHB,TEX,Shane Baz,R,34.2,19.3,26.2,37,27.3
Bryan Reynolds,SHB,PIT,Zach Thornton,L,31.7,20.7,21.7,40.4,27
Osleivis Basabe,RHB,SF,Keider Montero,R,58.9,23.2,23.2,23.2,26.8
Dillon Dingler,RHB,DET,JT Brubaker,R,32.7,20.6,17.5,44.1,26.8
Evan Carter,LHB,TEX,Shane Baz,R,26.6,37.7,3.4,39.1,26.6
Hunter Goodman,RHB,COL,Kyle Leahy,R,28.8,31.1,28.7,17.1,26.6
Carson Benge,LHB,NYM,Carmen Mlodzinski,R,24.1,25.9,18.2,38.3,26.5
